Region and State;Total;Inter-governmental;total.1;elementary and secondary education;Higher education;Public Welfare;Health and Hospitals;Highways;Police;all other;Exhibit personal Income (millions);year
Wisconsin;18,968079;0;18,968079;3,9791811;2,1975061;4,4520187;1,4117695;1,9631358;0,64879953;4,3156685;285249,9;2017
Plains;18,879875;0,00788461;18,87199;4,1829275;2,0116308;3,7839377;1,9711527;1,5368916;0,6073227;4,7781276;1055029,4;2017
Iowa;20,662862;0;20,662862;4,4627966;2,560115;3,7721634;2,8805522;1,8695759;0,5423232;4,5753354;149732,3;2017
Kansas;19,111214;0,0000436;19,11117;4,2382138;2,455325;3,0536411;2,9982839;1,3545961;0,60770176;4,4034084;142185,7;2017
Minnesota;19,280574;0,00011375;19,28046;4,2509676;1,8610472;4,8986285;1,1831664;1,5730564;0,65273835;4,860856;305921,2;2017
Missouri;17,040633;0,01116301;17,02947;3,7522493;1,4370889;3,3999937;2,3847041;0,85773975;0,64626224;4,5514324;276887,6;2017
Nebraska;18,445299;0,05345225;18,391846;4,8519979;2,4369108;2,9234431;1,4154674;1,6116977;0,51786311;4,6344664;97032,4;2017
North Dakota;24,933419;0;24,933419;4,5397246;2,7953879;3,85729;0,69280811;4,3586174;0,5834089;8,1061817;39812,9;2017
South Dakota;16,30208;0;16,30208;3,4820456;1,7232525;2,6673931;0,80123708;2,3075709;0,48388418;4,8366972;43457,3;2017
Southeast;17,281957;0,000004949;17,281952;3,5545273;1,6797107;3,5451675;2,0580139;1,0999917;0,67505278;4,6694882;3818754,9;2017
Alabama;20,167285;0;20,167285;3,9271154;2,5559781;3,6303871;3,6072001;1,2646558;0,63884214;4,5431065;199999,8;2017
Arkansas;19,755834;0,00013997;19,755694;4,1050808;2,1075179;5,9487465;1,2472028;1,6272182;0,53878363;4,1811444;125025,7;2017
Florida;15,163955;0;15,163955;2,7880928;1,0828002;2,7614577;1,5139387;1,1084678;0,83686694;5,0723312;1016819;2017
Georgia;15,385647;0;15,385647;4,2513109;1,286676;2,6014194;1,5797979;0,92598844;0,58620817;4,1542462;467359,4;2017
Kentucky;21,330519;0;21,330519;4,0204161;2,4597251;6,2450976;1,8818325;1,2613812;0,41862824;5,0434382;182116;2017
Louisiana;20,916992;0;20,916992;3,9401461;1,695047;5,5115397;1,7697599;1,1099285;0,80085726;6,0897138;205188;2017
Mississippi;24,08087;0;24,08087;4,2321945;2,7661634;5,8154383;4,0588198;1,5886821;0,70579772;4,9137747;109189,5;2017
North Carolina;17,711987;0;17,711987;3,2992563;2,2435897;3,2973269;3,109038;1,06927;0,70527203;3,9882346;455997,1;2017
South Carolina;20,361698;0;20,361698;4,2532512;2,096202;3,7371545;3,8409308;1,0743215;0,61913013;4,7407082;212034,1;2017
